token,age,occupation,formation,gender,dilemma_1,dilemma_2,dilemma_3,dilemma_4,dilemma_5,dilemma_6,dilemma_7,dilemma_8,dilemma_9,dilemma_10,dilemma_11,dilemma_12,dilemma_13,dilemma_14,dilemma_15,dilemma_16,self_reporting_1,self_reporting_2,SCES_1,SCES_2,SCES_3,SCES_4,SCES_5,SCES_6,SCES_7,SCES_8,SCES_9,SCES_10,start_time,date,submit_time,time_of_completion,group
huizrskj1d4ekshuit4ue2peeg01eqxi,35-44,Mid-Level Developer,,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Notify your manager about the request,Tell the president that you will not discuss the matter,Indecisive,Indecisive,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,1,5,4,4,4,4,3,3,4,3,1,2,2024-03-28 21:51:47,,2024-03-28 22:07:30,0 days 00:15:43,control
reirilpl3c070vboxmireirieb76zfsf,18-24,Junior Developer,Software Engineering,Male,Begin development of the test detection software,Indecisive,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Indecisive,Does not tell the client about the issue,Don't tell the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",Indecisive,Indecisive,2,5,5,4,3,3,4,3,2,2,4,5,2024-03-26 14:31:18,,2024-03-26 14:41:47,0 days 00:10:29,control
bitzce1hlov75fox33bitzcv3znr2cdb,18-24,Junior Developer,,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Don't tell the customer about the bug,Notify your manager about the request,Tell the president that you will not discuss the matter,Disclose the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,5,5,4,5,5,5,3,5,2024-03-25 20:54:56,,2024-03-25 21:13:36,0 days 00:18:40,control
4rg4vxkifhss1h464rg4vn6zgozqt1yv,18-24,Mid-Level Developer,,Female,Begin development of the test detection software,Download the data onto a personal hard drive so you can continue development at home,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,5,5,5,5,5,5,5,5,4,4,3,3,2024-03-25 17:18:33,,2024-03-25 18:47:22,0 days 01:28:49,control
vlt4wwubnl82pwmvlt4wybx341i6w5db,18-24,Student,Software Engineering,Male,Begin development of the test detection software,Download the data onto a personal hard drive so you can continue development at home,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Don't tell the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",1,5,5,5,5,5,5,5,5,5,5,3,2024-03-24 23:26:44,,2024-03-24 23:45:28,0 days 00:18:44,control
bafniz7cuzc4fbafni4m3nv0ioj8wp94,18-24,Student,Software Engineering,Male,Indecisive,Stay at work longer in order to continue development,Indecisive,Refuse the advertising company's offer,Indecisive,Indecisive,Indecisive,Notify your manager about the request,Indecisive,Disclose the information to the customer,Not tell John about the situation before the meeting,Indecisive,Indecisive,Indecisive,Indecisive,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",3,5,5,5,5,5,3,4,5,5,3,3,2024-03-24 23:26:18,,2024-03-24 23:52:53,0 days 00:26:35,control
8rflv0x7r8h40ns8rflv2j72tgvvmrbj,25-34,Mid-Level Developer,Software Engineering,Male,Indecisive,Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Don't tell the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",Indecisive,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,4,4,4,4,4,3,5,5,5,5,4,2024-03-24 21:30:20,,2024-03-24 21:47:36,0 days 00:17:16,control
mwqz7ab71i7p4c4mwqz73tndgijv02xg,18-24,Student,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Download the data onto a personal hard drive so you can continue development at home,Indecisive,Indecisive,Edit the software to remove the off switch,Does not tell the client about the issue,Don't tell the customer about the bug,Indecisive,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Not tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,4,5,4,3,4,4,5,3,3,5,2024-03-24 15:32:38,,2024-03-24 15:44:04,0 days 00:11:26,control
i85b2esioj2vkxhi85knw1p3beb28u7z,18-24,Student,Software Engineering,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Indecisive,Indecisive,Accept the client's work,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",4,5,5,5,5,5,4,5,5,5,4,3,2024-03-23 22:11:36,,2024-03-23 22:23:58,0 days 00:12:22,control
8j89qg5ga93qer34p8j89qgk5uovkizw,25-34,Junior Developer,Software Engineering,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Does not tell the client about the issue,Don't tell the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,5,4,5,4,4,3,4,4,5,4,2024-03-23 13:33:30,,2024-03-23 13:50:51,0 days 00:17:21,control
