token,age,occupation,formation,gender,dilemma_1,dilemma_2,dilemma_3,dilemma_4,dilemma_5,dilemma_6,dilemma_7,dilemma_8,dilemma_9,dilemma_10,dilemma_11,dilemma_12,dilemma_13,dilemma_14,dilemma_15,dilemma_16,self_reporting_1,self_reporting_2,SCES_1,SCES_2,SCES_3,SCES_4,SCES_5,SCES_6,SCES_7,SCES_8,SCES_9,SCES_10,start_time,date,submit_time,time_of_completion,group
uzoiogw7jf94b4fvg44zuzoip7mpwpzv,25-34,Senior Developer,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Indecisive,Refuse the advertising company's offer,"Do nothing, allowing the switch to remain operative",Does not tell the client about the issue,Don't tell the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,Indecisive,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,3,4,3,2,2,3,4,2,4,4,3,2024-03-28 17:48:57,,2024-04-01 11:58:33,3 days 18:09:36,experimental
3r4phirryqhhn31jwu6f0963r4phis4n,35-44,Intern,Information Systems,Male,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Does not tell the client about the issue,Don't tell the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Not revealing the information to the customer,Tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,5,4,5,5,5,5,5,5,2024-03-28 17:17:55,,2024-03-28 17:50:16,0 days 00:32:21,experimental
bjh0jdexxx81nxlspjkcbjh0tzcvu24y,18-24,Mid-Level Developer,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Indecisive,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Does not tell the client about the issue,Don't tell the customer about the bug,Indecisive,Indecisive,Not revealing the information to the customer,Not tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,4,5,4,5,3,4,4,5,2024-03-28 16:52:06,,2024-03-28 17:32:41,0 days 00:40:35,experimental
7u6gyvlbpygpi5rof3v7u6gyvlq8k575,18-24,Student,Data Science,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Indecisive,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Indecisive,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Indecisive,Indecisive,Indecisive,"Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",Indecisive,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",1,4,4,4,3,3,4,3,3,5,1,4,2024-03-26 17:40:44,,2024-03-26 18:15:53,0 days 00:35:09,experimental
uxop6j6u35tdrcdajq67uxopornm5ay7,18-24,Student,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Report the information to the competitor,Sign a contract with the advertising company,Indecisive,Indecisive,Don't tell the customer about the bug,Notify your manager about the request,Indecisive,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,Indecisive,Indecisive,You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,5,5,5,5,2,4,5,5,4,5,2024-03-25 22:38:46,,2024-03-25 23:06:24,0 days 00:27:38,experimental
m0z0y75nm61j8glhwyiynm0z0yfzdlkk,18-24,Student,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Download the data onto a personal hard drive so you can continue development at home,Report the information to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Informs the customer about the issue,Inform the customer about the bug,Accept the client's work,Meet with the president knowing the purpose of the discussion,Disclose the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Proposes that the upgrade of the encryption protocol (SHA1 to SHA 256) be done during the next month, without this being disclosed to the clinic's clients",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,5,5,5,4,2,4,4,2,2,1,3,2024-03-25 16:30:17,,2024-03-25 17:01:11,0 days 00:30:54,experimental
6uck57jj0s8jkxv6uh03fsnocdy7bln4,18-24,Student,Data Science,Female,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Indecisive,Edit the software to remove the off switch,Informs the customer about the issue,Don't tell the customer about the bug,Notify your manager about the request,Indecisive,Disclose the information to the customer,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Does not develop the model, since, even though it will help mankind considerably, it may incur life risks for a small portion of the population",Indecisive,You decide to take responsibility for the accident,"Refuse to collect the additional data, citing privacy concerns and potential backlash from the public",5,4,5,5,5,5,4,2,3,5,5,4,2024-03-25 13:45:52,,2024-03-25 14:10:04,0 days 00:24:12,experimental
q01a0qld7x5zbb6mtcuq01a0m5z1wi7o,25-34,Junior Developer,Software Engineering,Female,Begin development of the test detection software,Stay at work longer in order to continue development,Report the information to the competitor,Refuse the advertising company's offer,Edit the software to remove the off switch,Indecisive,Inform the customer about the bug,Notify your manager about the request,Meet with the president knowing the purpose of the discussion,Indecisive,Not tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,5,5,5,5,4,5,5,5,5,5,2024-03-23 21:36:30,,2024-03-23 21:55:58,0 days 00:19:28,experimental
bxoz4kmehih7yz3azq1kbxoz4kmiaehb,18-24,Junior Developer,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Indecisive,Say nothing about the bug to the competitor,Sign a contract with the advertising company,Edit the software to remove the off switch,Does not tell the client about the issue,Don't tell the customer about the bug,Indecisive,Meet with the president knowing the purpose of the discussion,Indecisive,Not tell John about the situation before the meeting,"Since the decision making is not yours, you deliver the model as approved","Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You take no responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,3,5,5,4,3,2,4,4,4,4,3,4,2024-03-23 21:27:39,,2024-03-24 02:59:17,0 days 05:31:38,experimental
ddg77ikj1877s6xhmk0zxddg77ikl6jp,18-24,Student,Software Engineering,Male,"Wait until the technology is available, without test detection software, and risk being beaten to market",Stay at work longer in order to continue development,Say nothing about the bug to the competitor,Refuse the advertising company's offer,"Do nothing, allowing the switch to remain operative",Does not tell the client about the issue,Inform the customer about the bug,Notify your manager about the request,Tell the president that you will not discuss the matter,Not revealing the information to the customer,Tell John about the situation before the meeting,Evidence a lack of accuracy in presenting the model on its own,"Develop the model, since it will help millions of people and the number of individuals harmed would be less","Advises that those in charge of the clinic notify their clients, and temporarily remove their application from the air",You decide to take responsibility for the accident,Advocate for transparently informing the users about the additional data collection and asking for their explicit consent,4,4,4,5,5,5,4,3,5,4,2,2,2024-03-22 23:57:29,,2024-03-23 00:32:03,0 days 00:34:34,experimental
